word1	word2	label	fold
meeting	orchid	False	val
mime	performer	True	val
pine	tree	True	val
bowling	clothing	False	val
stallion	statement	False	val
color	record	False	val
commodity	staple	False	val
contract	musician	False	val
housing	manor	False	val
serpent	reptile	True	val
fender	barrier	True	val
dove	animal	True	val
explanation	biplane	False	val
skin	covering	True	val
cipher	message	True	val
people	vicar	False	val
shopkeeper	merchant	True	val
animal	organization	False	val
cool	temperature	True	val
dogma	ship	False	val
bourgeoisie	fabric	False	val
shrine	captivity	False	val
sailor	forearm	False	val
cow	vertebrate	True	val
pocket	vehicle	False	val
mammal	rat	False	val
milk	fluid	True	val
algebra	potato	False	val
patience	trait	True	val
rig	equipment	True	val
disorder	insomnia	False	val
parasite	flea	False	val
disease	flu	False	val
crab	invertebrate	True	val
mule	animal	True	val
vehicle	gunboat	False	val
seminar	gathering	True	val
car	sedan	False	val
crystal	ice	False	val
association	organization	True	val
cancer	drug	False	val
science	decree	False	val
manual	publication	True	val
chant	boss	False	val
disease	animal	False	val
seminary	institution	True	val
border	feeling	False	val
produce	music	False	val
nickname	name	True	val
directorate	organization	True	val
goose	vertebrate	True	val
narrative	wine	False	val
kindergarten	institution	True	val
relative	infant	False	val
limb	leg	False	val
miner	arthritis	False	val
neuroscience	discipline	True	val
binder	performer	False	val
airplane	chalet	False	val
relief	feeling	True	val
carnage	murder	True	val
mother	ancestor	True	val
reptile	business	False	val
camera	clinician	False	val
produce	raisin	False	val
bin	mail	False	val
flea	parasite	True	val
geology	charcoal	False	val
security	indemnity	False	val
organization	bear	False	val
bead	decoration	False	val
disease	lupus	False	val
missile	weapon	True	val
snake	jewel	False	val
goalkeeper	athlete	True	val
mesothelioma	illness	True	val
animal	artillery	False	val
platform	surface	True	val
insomnia	dictionary	False	val
carbonate	worker	False	val
breeze	heroism	False	val
greyhound	eatery	False	val
lingerie	clothing	True	val
resignation	discipline	False	val
package	collection	True	val
melanoma	carcinoma	True	val
classroom	room	True	val
piper	musician	True	val
sensation	fragrance	False	val
symphony	music	True	val
biplane	aircraft	True	val
gladiator	combatant	True	val
palace	dwelling	True	val
player	goalkeeper	False	val
house	chalet	False	val
earring	decoration	True	val
disease	worm	False	val
tanker	vehicle	True	val
bonnet	hamster	False	val
jewel	invitation	False	val
vessel	stick	False	val
bird	disorder	False	val
epic	poem	True	val
relative	game	False	val
heroism	trait	True	val
professional	surgeon	False	val
comment	statement	True	val
asthma	tissue	False	val
apple	solid	True	val
velvet	fabric	True	val
colon	organ	True	val
molecule	vehicle	False	val
auto	vehicle	True	val
chemistry	science	True	val
electrolyte	solution	True	val
mango	tree	True	val
binder	disease	False	val
vicar	shareholder	False	val
explosive	dynamite	False	val
subcontractor	contractor	True	val
statesman	buggy	False	val
resentment	employee	False	val
security	fresco	False	val
environmentalist	reformer	True	val
insecticide	pesticide	True	val
supper	meal	True	val
turkey	employee	False	val
tumor	pasta	False	val
cheese	kettle	False	val
sewer	conduit	True	val
diabetes	furniture	False	val
leader	pope	False	val
mortar	weaponry	True	val
memo	record	True	val
dinner	meal	True	val
mesothelioma	tumor	True	val
playlist	bat	False	val
hound	python	False	val
geology	discipline	True	val
rum	liquid	True	val
building	shrine	False	val
furniture	throne	False	val
vertebrate	lion	False	val
football	sport	True	val
frustration	feeling	True	val
shark	assortment	False	val
shirt	clothing	True	val
vertebrate	worker	False	val
animal	kestrel	False	val
ale	alcohol	True	val
swimming	motel	False	val
seaweed	alga	True	val
campsite	discipline	False	val
contest	final	False	val
food	candy	False	val
nurse	adult	True	val
software	parser	False	val
prosecutor	magnitude	False	val
penguin	bird	True	val
thrill	energy	False	val
electrician	worker	True	val
theology	discipline	True	val
teaching	occupation	True	val
bird	eagle	False	val
kingfisher	vertebrate	True	val
container	room	False	val
heat	ticket	False	val
spasm	symptom	True	val
fly	grandchild	False	val
anorexia	fixture	False	val
flea	invertebrate	True	val
information	disease	False	val
physiotherapy	therapy	True	val
progenitor	mother	False	val
pharmacology	science	True	val
value	teaching	False	val
sloop	rector	False	val
feeling	nostalgia	False	val
pancreas	organ	True	val
animal	bull	False	val
gate	violinist	False	val
parasite	adjective	False	val
typography	surface	False	val
psychotherapy	discipline	True	val
spokeswoman	spokesperson	True	val
rifle	psychoanalysis	False	val
race	contest	True	val
propaganda	information	True	val
green	color	True	val
pesticide	insecticide	False	val
animal	robin	False	val
toddler	lobster	False	val
ultimatum	request	True	val
publication	manual	False	val
campsite	disease	False	val
prelate	clergyman	True	val
document	deity	False	val
vehicle	woman	False	val
container	pouch	False	val
piracy	feeling	False	val
lactose	pony	False	val
bike	gate	False	val
stocking	limousine	False	val
militia	leader	False	val
information	surgeon	False	val
reimbursement	insect	False	val
ware	shirt	False	val
hostel	hotel	True	val
sausage	solid	True	val
ore	clown	False	val
lupus	disease	True	val
odyssey	travel	True	val
velocity	sociology	False	val
graveyard	transaction	False	val
animal	hawk	False	val
deer	aromatherapy	False	val
tea	beverage	True	val
icon	disease	False	val
margarine	food	True	val
jam	food	True	val
mammal	goat	False	val
eel	kingfisher	False	val
theater	value	False	val
acoustics	discipline	True	val
trait	temperament	False	val
artist	beverage	False	val
dinosaur	vertebrate	True	val
sport	golf	False	val
orange	solid	True	val
vertebrate	site	False	val
denim	clothing	True	val
surcharge	cost	True	val
panda	animal	True	val
radiation	phenomenon	True	val
dart	motorway	False	val
aromatherapy	therapy	True	val
saying	motto	False	val
biochemistry	chemistry	True	val
etching	art	True	val
molecule	locomotive	False	val
vertebrate	bat	False	val
mummy	ancestor	True	val
vehicle	entertainer	False	val
vegetable	cabbage	False	val
organ	uterus	False	val
leader	boss	False	val
rodent	vertebrate	True	val
breeze	physiology	False	val
carbohydrate	molecule	True	val
bat	vertebrate	True	val
garment	jean	False	val
excuse	explanation	True	val
fallacy	idea	True	val
cottage	house	True	val
mariner	worker	True	val
comedian	performer	True	val
parapet	insect	False	val
descendent	relative	True	val
organization	galley	False	val
virus	microorganism	True	val
antibody	nematode	False	val
discipline	acoustics	False	val
privateer	sailor	True	val
garment	lingerie	False	val
balloon	aircraft	True	val
entertainer	warbler	False	val
midwife	professional	True	val
curve	spiral	False	val
hamlet	condominium	False	val
kindergarten	symbol	False	val
abstraction	concept	True	val
caterpillar	larva	True	val
horse	vertebrate	True	val
grandchild	drug	False	val
pig	swine	True	val
terrier	dog	True	test
snake	animal	True	test
curve	feeling	False	test
boat	dinghy	False	test
statement	contract	False	test
prefecture	musician	False	test
pet	animal	True	test
musician	soloist	False	test
kilt	monoclonal	False	test
psychoanalysis	therapy	True	test
parasite	emotion	False	test
hockey	sport	True	test
cricketer	athlete	True	test
aircraft	biplane	False	test
meeting	convention	False	test
binder	machine	True	test
pope	leader	True	test
laptop	ice	False	test
suit	commodity	True	test
dagger	dolphin	False	test
bird	woodpecker	False	test
scourge	instrument	True	test
cricket	insect	True	test
preamble	section	True	test
worker	cook	False	test
reptile	record	False	test
contractor	declaration	False	test
leaf	petal	False	test
tsunami	wave	True	test
overpayment	payment	True	test
spouse	commodity	False	test
manor	housing	True	test
thunderstorm	shower	False	test
insect	librarian	False	test
oncology	skating	False	test
python	animal	True	test
ink	liquid	True	test
aristocrat	baroness	False	test
disco	music	True	test
performer	saxophonist	False	test
apathy	mammal	False	test
netball	vehicle	False	test
rodent	hedgehog	False	test
webcam	camera	True	test
shortcut	road	True	test
right	kingfisher	False	test
science	algebra	False	test
ship	submarine	False	test
nanotechnology	discipline	True	test
solid	ape	False	test
elephant	animal	True	test
feeling	envy	False	test
herb	rue	False	test
parrot	vertebrate	True	test
clown	fool	True	test
vertebrate	puppy	False	test
agreement	rector	False	test
vertebrate	mare	False	test
immigration	migration	True	test
temperament	aristocrat	False	test
preposition	word	True	test
