word1	word2	label	fold
hornet	dragonfly	False	val
castle	cause	False	val
grape	montanes	False	val
scarf	prescriber	False	val
strawberry	tambon	False	val
dolphin	communist	False	val
hat	start	False	val
coyote	dolphin	False	val
apple	fruit	True	val
pine	tree	True	val
carrot	acid	False	val
cathedral	restaurant	False	val
bull	leave	False	val
dagger	authorisation	False	val
donkey	head	False	val
glider	ferry	False	val
pear	food	True	val
cherry	peach	False	val
cod	nj	False	val
guitar	fret	False	val
elephant	snout	False	val
battleship	frigate	False	val
rifle	holder	False	val
knife	scissors	False	val
donkey	fox	False	val
onion	cauliflower	False	val
restaurant	father	False	val
mackerel	gum	False	val
corkscrew	nation-state	False	val
moth	reredos	False	val
saw	scissors	False	val
moth	animal	True	val
salmon	head	False	val
cloak	silk	False	val
gorilla	rat	False	val
oven	sore	False	val
hammer	saw	False	val
piano	whore	False	val
falcon	woodpecker	False	val
grenade	pistol	False	val
onion	bulb	False	val
snake	mouth	False	val
parsley	onion	False	val
celery	format	False	val
whale	grandfather	False	val
jacket	criticism	False	val
revolver	boxer	False	val
cabbage	DIY	False	val
grenade	timer	False	val
vest	pants	False	val
pig	gorilla	False	val
trumpet	sprocket	False	val
mackerel	air	False	val
penguin	hawk	False	val
coyote	Monday	False	val
trumpet	feeling	False	val
owl	person	False	val
willow	cedar	False	val
cathedral	aquarium	False	val
pig	sheep	False	val
dove	animal	True	val
elephant	tax	False	val
peach	pit	False	val
cod	fish	True	val
coyote	p	False	val
villa	wood	False	val
cedar	burl	False	val
frigate	rank	False	val
hammer	popularity	False	val
hat	dress	False	val
robin	freshman	False	val
spear	degradation	False	val
coat	handrail	False	val
sieve	glass	False	val
fox	pink	False	val
dress	slope	False	val
fox	carnivore	True	val
library	minute	False	val
grapefruit	pineapple	False	val
robe	justice	False	val
battleship	craft	True	val
hammer	wrench	False	val
train	rear	False	val
motorcycle	usd	False	val
castle	geography	False	val
cat	fox	False	val
hatchet	humidity	False	val
phone	radio	False	val
cypress	tree	True	val
stereo	headphone	False	val
flute	ukulele	False	val
truck	motorcycle	False	val
snake	cabinet	False	val
desk	drawer	False	val
scooter	van	False	val
bookcase	metal	False	val
ambulance	website	False	val
bookcase	stool	False	val
pistol	bullet	False	val
spoon	tranquilliser	False	val
snake	equivalence	False	val
yacht	raft	False	val
cat	competence	False	val
wasp	matt	False	val
sweater	hem	False	val
garlic	tradesman	False	val
coat	avoidance	False	val
vulture	post	False	val
phone	artifact	True	val
turnip	bark	False	val
glove	garment	True	val
screwdriver	preaching	False	val
ant	coffee-table	False	val
frog	block	False	val
cow	vertebrate	True	val
shovel	homebrew	False	val
scarf	trouser	False	val
jacket	clothing	True	val
gun	childhood	False	val
potato	japonica	False	val
beaver	ear	False	val
robe	ruminant	False	val
truck	bottle	False	val
squirrel	sensor	False	val
cat	gorilla	False	val
villa	actress	False	val
corn	cauliflower	False	val
hornet	cagoule	False	val
whale	windshield	False	val
rabbit	coyote	False	val
woodpecker	vertebrate	True	val
saxophone	fairground	False	val
fighter	van	False	val
willow	webmasters	False	val
stereo	lawn	False	val
van	fuel	False	val
shirt	apparel	True	val
pear	cherry	False	val
wrench	rededication	False	val
fox	UFO	False	val
blouse	hometown	False	val
van	morning	False	val
scarf	coat	False	val
glider	tanker	False	val
sweater	gene	False	val
catfish	sh	False	val
deer	rabbit	False	val
dress	glove	False	val
castle	window	False	val
ant	deadline	False	val
cat	eye	False	val
dolphin	gorilla	False	val
elephant	dolphin	False	val
cottage	floor	False	val
vest	artifact	True	val
sheep	meat	False	val
