word1	word2	label	relation	fold
ear	gorilla	False	other	val
castle	house	True	hyper	val
object	coat	False	other	val
trunk	car	False	other	val
leaf	beet	False	other	val
vest	good	True	hyper	val
squirrel	vertebrate	True	hyper	val
bass	cello	False	other	val
cod	food	True	hyper	val
shirt	covering	True	hyper	val
pear	fruit	True	hyper	val
cat	paw	False	other	val
spoon	container	True	hyper	val
fridge	phone	False	other	val
hawk	woodpecker	False	other	val
wrench	utensil	True	hyper	val
artifact	bag	False	other	val
dagger	spear	False	other	val
salmon	fish	True	hyper	val
box	artifact	True	hyper	val
broccoli	film	False	other	val
cottage	habitation	True	hyper	val
mug	bottle	False	other	val
stalk	broccoli	False	other	val
vulture	raptor	True	hyper	val
construction	castle	False	other	val
apparel	shirt	False	other	val
revolver	pistol	True	hyper	val
cherry	grape	False	other	val
frigate	vehicle	True	hyper	val
mackerel	seafood	True	hyper	val
couch	bed	False	other	val
cloak	artefact	True	hyper	val
bottom	guitar	False	other	val
cutlery	knife	False	other	val
sieve	artifact	True	hyper	val
bowl	jar	False	other	val
pear	plum	False	other	val
fork	artifact	True	hyper	val
box	container	True	hyper	val
cricket	butterfly	False	other	val
animal	hornet	False	other	val
hotel	castle	False	other	val
priest	pistol	False	other	val
swan	vertebrate	True	hyper	val
plumage	falcon	False	other	val
cat	inception	False	other	val
cherry	produce	True	hyper	val
mackerel	vertebrate	True	hyper	val
jar	plate	False	other	val
coyote	beast	True	hyper	val
dolphin	vertebrate	True	hyper	val
fighter	truck	False	other	val
yacht	artifact	True	hyper	val
cod	vertebrate	True	hyper	val
exterior	mug	False	other	val
strawberry	produce	True	hyper	val
pistol	device	True	hyper	val
battleship	artefact	True	hyper	val
inn	villa	False	other	val
vertebrate	cow	False	other	val
plum	gunman	False	other	val
telephone	television	False	other	val
hatchet	pincer	False	other	val
couch	artefact	True	hyper	val
dishwasher	fridge	False	other	val
glove	bonfire	False	other	val
gun	artifact	True	hyper	val
axe	cutlery	True	hyper	val
piano	investor	False	other	val
beak	pheasant	False	other	val
artefact	frigate	False	other	val
table	functioning	False	other	val
speaker	radio	False	other	val
advantage	sword	False	other	val
wear	scarf	False	other	val
iron	spinach	False	other	val
mackerel	dolphin	False	other	val
washer	commodity	True	hyper	val
artifact	violin	False	other	val
spoon	tool	True	hyper	val
table	artifact	True	hyper	val
vitamin	carrot	False	other	val
swan	robin	False	other	val
pub	edifice	True	hyper	val
liar	whale	False	other	val
spoon	artefact	True	hyper	val
head	cabbage	False	other	val
vegetable	garlic	False	other	val
trout	phobia	False	other	val
weapon	axe	False	other	val
flower	willow	False	other	val
pigeon	animal	True	hyper	val
gorilla	elephant	False	other	val
respect	jar	False	other	val
knife	fork	False	other	val
juice	peach	False	other	val
bird	penguin	False	other	val
holder	pistol	False	other	val
jacket	commodity	True	hyper	val
wrench	object	True	hyper	val
whale	creature	True	hyper	val
fox	giraffe	False	other	val
table	couch	False	other	val
piano	furniture	True	hyper	val
television	system	True	hyper	val
food	lettuce	False	other	val
availability	dishwasher	False	other	val
violin	device	True	hyper	val
cottage	castle	False	other	val
cucumber	carrot	False	other	val
sheep	herbivore	True	hyper	val
gun	pistol	False	other	val
clothes	dresser	False	other	val
salary	turtle	False	other	val
cathedral	edifice	True	hyper	val
interior	fighter	False	other	val
rabbit	creature	True	hyper	val
frigate	craft	True	hyper	val
dresser	artifact	True	hyper	val
vertebrate	goose	False	other	val
bicycle	car	False	other	val
lion	dolphin	False	other	val
bear	mammal	True	hyper	val
pineapple	produce	True	hyper	val
jacket	shirt	False	other	val
gate	castle	False	other	val
cathedral	church	True	hyper	val
cloak	apparel	True	hyper	val
catfish	fish	True	hyper	val
television	channel	False	other	val
hospital	edifice	True	hyper	val
turtle	vertebrate	True	hyper	val
snout	donkey	False	other	val
sheep	cow	False	other	val
creature	horse	False	other	val
guitar	device	True	hyper	val
alligator	snake	False	other	val
bear	creature	True	hyper	val
radio	commodity	True	hyper	val
dress	shirt	False	other	val
peach	lime	False	other	val
object	bed	False	other	val
jacket	good	True	hyper	val
stocking	sweater	False	other	val
bull	creature	True	hyper	val
jacket	object	True	hyper	val
villa	site	True	hyper	val
commodity	sweater	False	other	val
shirt	commodity	True	hyper	val
castle	season	False	other	val
dress	apparel	True	hyper	val
blouse	commodity	True	hyper	val
apricot	fruit	True	hyper	val
elephant	animal	True	hyper	val
fork	hatchet	False	other	val
castle	edifice	True	hyper	val
van	transport	True	hyper	val
cucumber	vegetable	True	hyper	val
wardrobe	artefact	True	hyper	val
violin	artefact	True	hyper	val
stove	commodity	True	hyper	val
acacia	tree	True	hyper	val
fighter	aeroplane	True	hyper	val
restaurant	edifice	True	hyper	val
potato	food	True	hyper	val
crow	penguin	False	other	val
rifle	arm	True	hyper	test
vertebrate	sheep	False	other	test
violin	instrument	True	hyper	test
leg	ant	False	other	test
dress	artefact	True	hyper	test
vulture	owl	False	other	test
car	fighter	False	other	test
freezer	good	True	hyper	test
scholar	missile	False	other	test
ant	bug	True	hyper	test
ferry	boat	True	hyper	test
washer	object	True	hyper	test
lemon	produce	True	hyper	test
battleship	warship	True	hyper	test
licence	rabbit	False	other	test
lettuce	vegetable	True	hyper	test
bomber	aeroplane	True	hyper	test
sofa	declaration	False	other	test
food	onion	False	other	test
clothes	hat	False	other	test
donkey	herbivore	True	hyper	test
stereo	reservation	False	other	test
justice	jacket	False	other	test
lizard	vertebrate	True	hyper	test
library	building	True	hyper	test
radish	vinyl	False	other	test
gia	dress	False	other	test
horse	circle	False	other	test
creature	ant	False	other	test
motorcycle	transport	True	hyper	test
coat	clothing	True	hyper	test
coyote	elephant	False	other	test
coyote	creature	True	hyper	test
dress	artifact	True	hyper	test
bomb	arm	True	hyper	test
onion	produce	True	hyper	test
