word1	word2	label	fold
bekabad	uzbekistan	False	val
best	male	False	val
fink	songwriter	False	val
sandrin	composer	False	val
brownsville	pennsylvania	False	val
city	shanghai	False	val
vogelsbergkreis	germany	False	val
trimeresurus	genus	False	val
relation	change	False	val
krxt	rockdale	False	val
avalon	florida	False	val
iharos	hungary	False	val
muscat	region	True	val
structure	projection	False	val
zarqan	iran	False	val
austhorpe	leeds	False	val
aurora	song	True	val
aarhus	denmark	False	val
kviteseid	norway	False	val
watch	gold	False	val
hammerhead	song	True	val
osiris	genus	False	val
straight	album	True	val
humehume	honolulu	False	val
spring	season	True	val
brazil	roraima	False	val
rafsanjan	iran	False	val
tajabad	iran	False	val
downsyde	perth	False	val
sucre	mayor	False	val
gordon	australia	False	val
d.c.	u.s.a.	False	val
galanta	town	True	val
napoleon	france	False	val
bourse	france	False	val
austria	organisation	True	val
amount	margin	False	val
peridiscaceae	saxifragales	False	val
afterthought	addition	True	val
nationwide	surgery	False	val
sinibrama	genus	False	val
zara	arteixo	False	val
emissaries	album	True	val
jaipur	india	False	val
seimas	vilnius	False	val
wizard	stallion	False	val
jeeves	software	False	val
eudunda	australia	False	val
interstate	tennessee	False	val
perungudi	chennai	False	val
revolution	open	False	val
stenostiridae	family	False	val
lawson	city	True	val
mercury	band	True	val
country	tonga	False	val
auto	taxi	False	val
attajdid	newspaper	True	val
sabadell	spain	False	val
lovesexy	album	True	val
triadica	plant	False	val
raima	database	False	val
porac	philippines	False	val
porthmadog	wales	False	val
kmel	california	False	val
madridejos	cebu	False	val
oxygen	single	True	val
days	innocence	False	val
vasu	film	True	val
folketeatret	oslo	False	val
tarababad	iran	False	val
sandal	footwear	True	val
mechanism	automaton	False	val
fearless	novel	False	val
stigma	genus	False	val
marin	romania	False	val
plasencia	extremadura	False	val
turin	alessandria	False	val
utopia	band	True	val
stenorhopalus	beetle	False	val
modau	rhine	False	val
rhydyfelin	village	True	val
hanwood	shropshire	False	val
tsapatagh	armenia	False	val
herten	rheinfelden	False	val
shaanxi	yan'an	False	val
vinga	sweden	False	val
cloud	cumulonimbus	False	val
huizen	village	True	val
teignmouth	england	False	val
veta	film	True	val
muzaffarpur	bihar	False	val
beilstein	town	True	val
volos	city	True	val
bumbershoot	washington	False	val
dubysa	river	True	val
lymantriidae	family	False	val
staffelberg	bavaria	False	val
bliss	film	True	val
khanna	india	False	val
oberon	opera	True	val
amaryllis	amaryllidaceae	False	val
appingedam	netherlands	False	val
tiga	musician	False	val
platycephalidae	flatheads	False	val
taungoo	myanmar	False	val
waldemar	henry	False	val
italy	thailand	False	val
matisse	greece	False	val
helianthemum	plant	False	val
glendale	colorado	False	val
photographer	brady	False	val
falketind	mountain	True	val
diane	english	False	val
screenwriter	screenplay	False	val
henlow	bedfordshire	False	val
popcorn	comedy	False	val
opening	hole	False	val
krishna	religion	False	val
animals	film	True	val
gandu	kolkata	False	val
aube	orne	False	val
barlaston	staffordshire	False	val
lyngen	troms	False	val
novalja	croatia	False	val
gobryidae	family	False	val
zabardast	film	True	val
estrone	estrogen	True	val
bridesmaids	film	True	val
jocotepec	jalisco	False	val
pulsatilla	genus	False	val
wilmington	city	True	val
khandan	hindi	False	val
agonandra	genus	False	val
tropenmuseum	amsterdam	False	val
whole	concept	True	val
verlautenheide	aachen	False	val
meles	badger	False	val
persebaya	surabaya	False	val
maqbool	film	True	val
vydra	river	True	val
marga	estonia	False	val
yerevan	erebuni	False	val
strauss	israel	False	val
bali	indonesia	False	val
france	lille	False	val
cathode	anode	False	val
robbs	hexham	False	val
organist	purcell	False	val
aramane	film	True	val
hoeven	netherlands	False	val
patrick	english	False	val
abergavenny	monmouthshire	False	val
hindi	sanskrit	True	val
windyville	missouri	False	val
westonzoyland	village	True	val
quality	faithfulness	False	val
lizzy	park	False	val
kingsoft	company	True	val
servier	company	True	val
jacor	corporation	True	val
roof	span	False	val
koskela	finland	False	val
policy	macroeconomics	False	val
greenwich	town	True	val
saracen	band	True	val
position	profession	True	val
ginza	japan	False	val
amplification	increase	True	val
danger	threat	False	val
macedon	victoria	False	val
alpha	toronto	False	val
mudminnows	umbridae	False	val
wilburgstetten	germany	False	val
periander	cypselus	False	val
florencia	colombia	False	val
party	shower	False	val
unsolved	album	True	val
eadwig	england	False	val
blofield	england	False	val
afternoon	film	True	val
pitcairn	adamstown	False	val
neurosurgeon	neurosurgery	False	val
cheswick	village	True	val
utopia	company	True	val
coulibistrie	dominica	False	val
tuxford	village	True	val
time	zagreb	False	val
appalachian	american	True	val
gorban	village	True	val
lille	europe	False	val
storage	english	False	val
corsairs	freelancer	False	val
murata	japan	False	val
monteros	argentina	False	val
mercury	longview	False	val
figure	figurine	False	val
girobank	bootle	False	val
parula	genus	False	val
countesthorpe	leicestershire	False	val
newchurch	england	False	val
russikon	switzerland	False	val
girls	akon	False	val
olympiahalle	germany	False	val
franca	city	True	val
chaetostomella	tephritidae	False	val
chavassery	village	True	val
germany	rostock	False	val
swat	samba	False	val
drink	coffee	False	val
mantena	company	True	val
kamiyama	japan	False	val
trelew	argentina	False	val
china	male	False	val
pterocles	sandgrouse	False	val
electropop	electronica	False	val
franzosenwoog	reservoir	False	val
borowiec	poland	False	val
pardalote	bird	False	val
dalkhola	india	False	val
pulau	island	False	val
temecula	city	True	val
morvah	cornwall	False	val
anjirak	village	True	val
sigeberht	sigebert	False	val
carabidae	species	True	val
hypothesis	speculation	False	val
mazzarino	italy	False	val
wave	surge	False	val
damme	belgium	False	val
nezahualcoyotl	mexico	False	val
contulmo	chile	False	val
klondike	solitaire	True	val
friends	russian	False	val
pyrimidine	cytosine	False	val
rahovtsi	gabrovo	False	val
anna	frozen	False	val
kikk	texas	False	val
abbey	monastery	True	val
agesilaus	xenophon	False	val
miranda	spain	False	val
shediac	canada	False	val
infection	sepsis	False	val
mykonos	greece	False	val
rezh	russia	False	val
breeders	film	True	val
martin	airliner	True	val
mushishi	anime	True	val
toro	person	True	val
clockers	film	True	val
seyhan	turkey	False	val
florianus	emperor	False	val
sinomach	china	False	val
ideology	communism	False	val
coventry	england	False	val
snivilisation	album	True	val
stack	list	True	val
creation	invention	False	val
asom	assam	False	val
dionysia	place	True	val
rhombodera	mantis	False	val
wibc	indianapolis	False	val
mokra	village	True	val
fanny	english	False	val
nabburg	bavaria	False	val
ambassador	organization	True	val
castlemaine	australia	False	val
cjrp	quebec	False	val
schongau	germany	False	val
gansu	baiyin	False	val
robbery	london	False	val
lipia	village	True	val
guangzhou	china	False	val
anthodon	genus	False	val
rope	wheels	False	val
zeven	germany	False	val
victoria	mexico	False	val
goundam	mali	False	val
wmea	maine	False	val
river	tyne	False	val
baidu	website	True	val
coendou	species	True	val
altenstadt	germany	False	val
plaka	greece	False	val
idaho	company	True	val
esterlyn	band	True	val
kadsura	genus	False	val
fuding	ningde	False	val
maieru	romania	False	val
tata	hungary	False	val
westphalweg	berlin	False	val
distance	leap	False	val
flag	list	True	val
bothria	genus	False	val
kinglassie	fife	False	val
loxophlebia	arctiidae	False	val
commscope	company	True	val
apartment	novel	False	val
cecilia	cuba	False	val
rondo	warsaw	False	val
essential	company	True	val
jaisalmer	india	False	val
rahman	male	False	val
terrier	schnauzer	False	val
aiouea	plant	False	val
hijaz	medina	False	val
tuzi	podgorica	False	val
coscile	crati	False	val
games	puzzle	False	val
strelitzia	plant	False	val
changzhi	shanxi	False	val
seaview	film	True	val
angel	akon	False	val
italians	latin	False	val
sanctuary	episode	True	val
alebtong	uganda	False	val
student	auditor	False	val
gulia	village	True	val
mickleover	derbyshire	False	val
midtown	atlanta	False	val
collection	fleet	False	val
creation	album	True	val
emsworth	england	False	val
phyllocrania	mantis	False	val
sidney	canada	False	val
kyll	river	True	val
b-52	cocktail	True	val
belarusians	russia	False	val
ravand	village	True	val
m-217	road	True	val
naresuan	ekathotsarot	False	val
bugged	album	True	val
cambodia	kampuchea	False	val
throwley	kent	False	val
ebberston	village	True	val
mahal	film	True	val
botswana	lobatse	False	val
gaydon	warwickshire	False	val
wonewoc	village	True	val
breg	croatia	False	val
team	eleven	False	val
bebot	song	True	val
larkhall	lanarkshire	False	val
bonnard	yonne	False	val
cavalcade	album	True	val
blackadder	ship	True	val
germany	michael	False	val
kantakouzene	kantakouzenos	False	val
wjyi	milwaukee	False	val
convergence	company	True	val
opiliones	order	False	val
gambarogno	switzerland	False	val
party	magazine	True	val
hermenegild	tarragona	False	val
dreamland	book	True	val
risotto	dish	True	val
packard	automobile	False	val
poshtu	iran	False	val
bark	cork	False	val
morden	city	True	val
party	fiesta	False	val
alternative	experiment	False	val
rutja	estonia	False	val
firefly	album	True	val
abinger	surrey	False	val
elderslie	scotland	False	val
kurukshetra	india	False	val
craniotome	genus	False	val
naina	film	True	val
camberwell	australia	False	val
uzsa	hungary	False	val
gabriela	germany	False	val
morbid	mayhem	False	val
napierville	canada	False	val
elgin	texas	False	val
lizonne	dronne	False	val
baddeckenstedt	germany	False	val
committee	conservancy	False	val
tara	film	True	val
model	simulation	False	val
korbach	germany	False	val
hotel	alabama	False	val
umist	university	True	val
wharfedale	england	False	val
lukeville	arizona	False	val
fedexforum	memphis	False	val
sparks	nevada	False	val
rakai	uganda	False	val
neophygopoda	beetle	False	val
hialeah	metrorail	False	val
genetics	genomics	False	val
electra	paris	False	val
jijia	romania	False	val
erinus	genus	False	val
senate	kenya	False	val
shaanxi	baoji	False	val
